Emotion,in_Count_1,in_Count_2,in_Count_3,in_Count_4,in_Count_5,in_Count_6,in_Count_7,in_Count_8,in_Count_9,in_Count_10,in_Count_11,in_Count_12,in_Count_13,in_Count_14,in_Count_15,in_Count_16,in_Count_17,in_Ratio_1,in_Ratio_2,in_Ratio_3,in_Ratio_4,in_Ratio_5,in_Ratio_6,in_Ratio_7,in_Ratio_8,in_Ratio_9,in_Ratio_10,in_Ratio_11,in_Ratio_12,in_Ratio_13,in_Ratio_14,in_Ratio_15,in_Ratio_16,in_Ratio_17,across_Count_1,across_Count_2,across_Count_3,across_Count_4,across_Count_5,across_Count_6,across_Count_7,across_Count_8,across_Count_9,across_Count_10,across_Count_11,across_Count_12,across_Count_13,across_Count_14,across_Count_15,across_Count_16,across_Count_17,across_Ratio_1,across_Ratio_2,across_Ratio_3,across_Ratio_4,across_Ratio_5,across_Ratio_6,across_Ratio_7,across_Ratio_8,across_Ratio_9,across_Ratio_10,across_Ratio_11,across_Ratio_12,across_Ratio_13,across_Ratio_14,across_Ratio_15,across_Ratio_16,across_Ratio_17
Inspiration,0,0,0,17,988,0,0,90,0,0,221,3715,56,0,608,0,0,0.0,0.0,0.0,0.004,0.148,0.0,0.0,0.018,0.0,0.0,0.049,0.107,0.005,0.0,0.059,0.0,0.0,0,0,0,17,988,0,0,90,0,0,221,3715,56,0,608,0,0,0.0,0.0,0.0,0.003,0.174,0.0,0.0,0.016,0.0,0.0,0.039,0.652,0.01,0.0,0.107,0.0,0.0
Interested,0,0,25,28,4589,0,0,0,0,0,75,879,0,0,208,0,0,0.0,0.0,0.006,0.006,0.686,0.0,0.0,0.0,0.0,0.0,0.017,0.025,0.0,0.0,0.02,0.0,0.0,0,0,25,28,4589,0,0,0,0,0,75,879,0,0,208,0,0,0.0,0.0,0.004,0.005,0.791,0.0,0.0,0.0,0.0,0.0,0.013,0.151,0.0,0.0,0.036,0.0,0.0
Lust,0,0,0,0,74,27,0,97,2707,0,62,931,97,0,159,0,0,0.0,0.0,0.0,0.0,0.011,0.007,0.0,0.02,0.972,0.0,0.014,0.027,0.009,0.0,0.016,0.0,0.0,0,0,0,0,74,27,0,97,2707,0,62,931,97,0,159,0,0,0.0,0.0,0.0,0.0,0.018,0.006,0.0,0.023,0.652,0.0,0.015,0.224,0.023,0.0,0.038,0.0,0.0
Moved,0,0,0,0,22,0,159,0,0,0,3551,494,229,71,1014,218,0,0.0,0.0,0.0,0.0,0.003,0.0,0.019,0.0,0.0,0.0,0.782,0.014,0.021,0.019,0.099,0.051,0.0,0,0,0,0,22,0,159,0,0,0,3551,494,229,71,1014,218,0,0.0,0.0,0.0,0.0,0.004,0.0,0.028,0.0,0.0,0.0,0.617,0.086,0.04,0.012,0.176,0.038,0.0
Positive_Surprise,3394,25,29,0,0,0,550,207,0,34,0,1203,355,0,98,38,19,0.985,0.008,0.006,0.0,0.0,0.0,0.067,0.042,0.0,0.009,0.0,0.034,0.032,0.0,0.01,0.009,0.004,3394,25,29,0,0,0,550,207,0,34,0,1203,355,0,98,38,19,0.57,0.004,0.005,0.0,0.0,0.0,0.092,0.035,0.0,0.006,0.0,0.202,0.06,0.0,0.016,0.006,0.003
Pride,0,0,0,105,47,0,311,95,0,0,0,1038,0,3494,78,0,0,0.0,0.0,0.0,0.024,0.007,0.0,0.038,0.019,0.0,0.0,0.0,0.03,0.0,0.934,0.008,0.0,0.0,0,0,0,105,47,0,311,95,0,0,0,1038,0,3494,78,0,0,0.0,0.0,0.0,0.02,0.009,0.0,0.06,0.018,0.0,0.0,0.0,0.201,0.0,0.676,0.015,0.0,0.0
Relief,0,0,0,0,38,0,1634,163,0,0,0,3341,390,0,0,81,0,0.0,0.0,0.0,0.0,0.006,0.0,0.198,0.033,0.0,0.0,0.0,0.096,0.035,0.0,0.0,0.019,0.0,0,0,0,0,38,0,1634,163,0,0,0,3341,390,0,0,81,0,0.0,0.0,0.0,0.0,0.007,0.0,0.289,0.029,0.0,0.0,0.0,0.592,0.069,0.0,0.0,0.014,0.0
Respected,0,0,0,0,19,0,37,25,0,0,0,819,92,21,84,0,4509,0.0,0.0,0.0,0.0,0.003,0.0,0.004,0.005,0.0,0.0,0.0,0.023,0.008,0.006,0.008,0.0,0.963,0,0,0,0,19,0,37,25,0,0,0,819,92,21,84,0,4509,0.0,0.0,0.0,0.0,0.003,0.0,0.007,0.004,0.0,0.0,0.0,0.146,0.016,0.004,0.015,0.0,0.804
Schadenfreude,0,175,390,0,36,0,673,0,0,0,106,3821,186,0,40,0,13,0.0,0.059,0.087,0.0,0.005,0.0,0.082,0.0,0.0,0.0,0.023,0.11,0.017,0.0,0.004,0.0,0.003,0,175,390,0,36,0,673,0,0,0,106,3821,186,0,40,0,13,0.0,0.032,0.072,0.0,0.007,0.0,0.124,0.0,0.0,0.0,0.019,0.703,0.034,0.0,0.007,0.0,0.002
Sensory_Pleasure,0,0,0,0,0,3557,0,0,0,0,0,268,73,0,1008,30,52,0.0,0.0,0.0,0.0,0.0,0.929,0.0,0.0,0.0,0.0,0.0,0.008,0.007,0.0,0.098,0.007,0.011,0,0,0,0,0,3557,0,0,0,0,0,268,73,0,1008,30,52,0.0,0.0,0.0,0.0,0.0,0.713,0.0,0.0,0.0,0.0,0.0,0.054,0.015,0.0,0.202,0.006,0.01
Tenderness,0,0,0,0,0,0,0,0,0,0,39,732,482,0,0,3699,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.021,0.043,0.0,0.0,0.865,0.0,0,0,0,0,0,0,0,0,0,0,39,732,482,0,0,3699,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.148,0.097,0.0,0.0,0.747,0.0
Triumph,0,2074,0,0,0,0,1107,30,0,0,0,2275,52,123,0,0,0,0.0,0.698,0.0,0.0,0.0,0.0,0.134,0.006,0.0,0.0,0.0,0.065,0.005,0.033,0.0,0.0,0.0,0,2074,0,0,0,0,1107,30,0,0,0,2275,52,123,0,0,0,0.0,0.366,0.0,0.0,0.0,0.0,0.196,0.005,0.0,0.0,0.0,0.402,0.009,0.022,0.0,0.0,0.0
